Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
BTG,B2Gold Corp,3.32,3402644447.92,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/btg,
BTN,"Ballantyne Strong, Inc",2.77,40216954.12,,,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/btn,
BKJ,"Bancorp of New Jersey, Inc",16.6,121075370.2,,,Finance,Major Banks,https://old.nasdaq.com/symbol/bkj,
BCV,Bancroft Fund Limited,22.6,118768763.0,,,,,https://old.nasdaq.com/symbol/bcv,
BCV^A,Bancroft Fund Limited,25.7,0.0,,,,,https://old.nasdaq.com/symbol/bcv^a,
BHB,"Bar Harbor Bankshares, Inc.",24.77,385068376.12,,,Finance,Major Banks,https://old.nasdaq.com/symbol/bhb,
BRN,"Barnwell Industries, Inc.",0.485,4014422.6,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/brn,
BGSF,BG Staffing Inc,19.48,199372306.64,,,Technology,Professional Services,https://old.nasdaq.com/symbol/bgsf,
BIOX,Bioceres Crop Solutions Corp.,6.4491,232944826.1847,,2018.0,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/biox,
BIOX.WS,Bioceres Crop Solutions Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/biox.ws,
BPMX,BioPharmX Corporation,0.3334,4730140.1722,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bpmx,
BGI,Birks Group Inc.,0.9454,16980216.8974,,,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/bgi,
BKTI,BK Technologies Corporation,3.23,41059624.34,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bkti,
BDR,"Blonder Tongue Laboratories, Inc.",0.66,6350332.56,,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bdr,
BRG,"Bluerock Residential Growth REIT, Inc.",11.86,265590384.98,,2014.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brg,
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.5,0.0,,,,,https://old.nasdaq.com/symbol/brg^a,
BRG^C,"Bluerock Residential Growth REIT, Inc.",26.26,0.0,,,,,https://old.nasdaq.com/symbol/brg^c,
BRG^D,"Bluerock Residential Growth REIT, Inc.",25.99,0.0,,,,,https://old.nasdaq.com/symbol/brg^d,
