Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
HCI,"HCI Group, Inc.",42.35,346430368.9,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hci,
HCP,"HCP, Inc.",36.32,17837126096.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hcp,
HDB,HDFC Bank Limited,55.81,101774444270.84,,2001.0,Finance,Commercial Banks,https://old.nasdaq.com/symbol/hdb,
HR,Healthcare Realty Trust Incorporated,33.98,4391759609.46,,1993.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hr,
HTA,"Healthcare Trust of America, Inc.",29.61,6074745583.41,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hta,
HL,Hecla Mining Company,1.93,946183980.31,,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/hl,
HL^B,Hecla Mining Company,51.3983,0.0,,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/hl^b,
HEI,Heico Corporation,122.78,16471313320.7,,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/hei,
HEI.A,Heico Corporation,,0.0,,,,,https://old.nasdaq.com/symbol/hei.a,
HLX,"Helix Energy Solutions Group, Inc.",7.65,1138069898.55,,,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/hlx,
HP,"Helmerich & Payne, Inc.",37.24,4075310913.52,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hp,
HLF,Herbalife Nutrition Ltd.,38.0,5747322844.0,,2004.0,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/hlf,
HRI,Herc Holdings Inc.,42.28,1213362771.04,,2016.0,,,https://old.nasdaq.com/symbol/hri,
HCXY,"Hercules Capital, Inc.",26.3,0.0,,2018.0,,,https://old.nasdaq.com/symbol/hcxy,
HCXZ,"Hercules Capital, Inc.",25.5,0.0,,2018.0,,,https://old.nasdaq.com/symbol/hcxz,
HTGC,"Hercules Capital, Inc.",13.25,1385556117.25,,2012.0,,,https://old.nasdaq.com/symbol/htgc,
HRTG,"Heritage Insurance Holdings, Inc.",13.83,412899877.74,,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hrtg,
PSV,Hermitage Offshore Services Ltd.,1.15,23186412.7,,2014.0,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/psv,
HT,Hersha Hospitality Trust,14.45,567458334.85,,1999.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ht,
HT^C,Hersha Hospitality Trust,25.5801,0.0,,,,,https://old.nasdaq.com/symbol/ht^c,
HT^D,Hersha Hospitality Trust,25.38,0.0,,,,,https://old.nasdaq.com/symbol/ht^d,
HT^E,Hersha Hospitality Trust,25.323,0.0,,,,,https://old.nasdaq.com/symbol/ht^e,
HSY,Hershey Company (The),157.7,33050595368.6,,,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/hsy,
HTZ,"Hertz Global Holdings, Inc",12.58,1787213087.54,,2016.0,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/htz,
HES,Hess Corporation,62.7,19090932993.0,,,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/hes,
HESM,Hess Midstream Partners LP,20.3,1108886748.9,,2017.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hesm,
HPE,Hewlett Packard Enterprise Company,14.35,18735378052.3,,2015.0,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/hpe,
HXL,Hexcel Corporation,77.8,6619455844.0,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/hxl,
HEXO,HEXO Corp.,3.8,976533515.2,,,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/hexo,
HCR,Hi-Crush Inc.,1.4,140973674.8,,2012.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/hcr,
PCF,High Income Securities Fund,8.49,47246900.94,,,,,https://old.nasdaq.com/symbol/pcf,
HGLB,Highland Global Allocation Fund,10.03,230874672.36,,2019.0,,,https://old.nasdaq.com/symbol/hglb,
HFRO,Highland Income Fund,12.49,897688574.16,,2017.0,,,https://old.nasdaq.com/symbol/hfro,
HFRO^A,Highland Income Fund,25.0,0.0,,,,,https://old.nasdaq.com/symbol/hfro^a,
HPR,HighPoint Resources Corporation,1.33,284468000.95,,2018.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hpr,
HIW,"Highwoods Properties, Inc.",44.26,4590841014.54,,1994.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hiw,
HIL,"Hill International, Inc.",2.99,167565968.7,,2018.0,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/hil,
HI,Hillenbrand Inc,28.68,1797292255.92,,,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/hi,
HRC,Hill-Rom Holdings Inc,102.49,6847904504.07,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/hrc,
HTH,Hilltop Holdings Inc.,23.6,2189499699.6,,,Finance,Major Banks,https://old.nasdaq.com/symbol/hth,
HGV,Hilton Grand Vacations Inc.,32.22,2768080129.2,,2016.0,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/hgv,
HLT,Hilton Worldwide Holdings Inc.,91.0,26103762139.0,,2016.0,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/hlt,
HNI,HNI Corporation,34.27,1469315180.79,,,Consumer Durables,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/hni,
HMLP,Hoegh LNG Partners LP,15.75,523947989.25,,2014.0,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/hmlp,
HMLP^A,Hoegh LNG Partners LP,27.0799,0.0,,,,,https://old.nasdaq.com/symbol/hmlp^a,
HEP,"Holly Energy Partners, L.P.",24.04,2534782432.04,,2004.0,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/hep,
HFC,HollyFrontier Corporation,52.97,8717705505.99,,,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/hfc,
HD,"Home Depot, Inc. (The)",226.74,248315007772.02,,,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/hd,
HMC,"Honda Motor Company, Ltd.",25.58,45009580228.3,,,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/hmc,
HON,Honeywell International Inc.,163.18,117409322456.74,,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/hon,
HMN,Horace Mann Educators Corporation,45.3,1866276965.1,,1991.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hmn,
HZN,Horizon Global Corporation,3.8,96219465.6,,2015.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/hzn,
HTFA,Horizon Technology Finance Corporation,25.385,0.0,,2017.0,,,https://old.nasdaq.com/symbol/htfa,
HRL,Hormel Foods Corporation,43.7,23334486858.7,,,Consumer Non-Durables,Meat/Poultry/Fish,https://old.nasdaq.com/symbol/hrl,
HOS,Hornbeck Offshore Services,0.6509999999999999,24733657.179,,2004.0,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/hos,
HST,"Host Hotels & Resorts, Inc.",16.8,12262380093.6,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hst,
HLI,"Houlihan Lokey, Inc.",43.94,2906166729.96,,2015.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/hli,
HOV,Hovnanian Enterprises Inc,19.91,118415999.24,,,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/hov,
HHC,Howard Hughes Corporation (The),124.56,5374182180.24,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hhc,
HPQ,HP Inc.,16.8,24896149135.2,,,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/hpq,
HSBC,HSBC Holdings plc,37.16,150574478921.68,,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/hsbc,
HSBC^A,HSBC Holdings plc,26.29,0.0,,,,,https://old.nasdaq.com/symbol/hsbc^a,
HMI,Huami Corporation,9.5,582267046.0,,2018.0,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/hmi,
HNP,"Huaneng Power International, Inc.",18.54,7276066253.82,,1994.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/hnp,
HUBB,Hubbell Inc,129.2,7029636598.4,,2015.0,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/hubb,
HUBS,"HubSpot, Inc.",164.69,6999368972.23,,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/hubs,
HBM,Hudbay Minerals Inc.,3.26,851747212.26,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/hbm,
HUD,Hudson Ltd.,11.42,1055049033.6,,2018.0,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/hud,
HPP,"Hudson Pacific Properties, Inc.",34.01,5251083428.19,,2010.0,Finance,Real Estate,https://old.nasdaq.com/symbol/hpp,
HUM,Humana Inc.,255.24,34480190379.6,,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/hum,
HCFT,"Hunt Companies Finance Trust, Inc.",3.27,77458661.28,,2013.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hcft,
HII,"Huntington Ingalls Industries, Inc.",205.55,8496314080.35,,,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/hii,
HUN,Huntsman Corporation,21.91,5027692717.39,,2005.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/hun,
HUYA,HUYA Inc.,22.68,4947562415.88,,2018.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/huya,
H,Hyatt Hotels Corporation,71.15,7402291106.45,,2009.0,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/h,
HY,"Hyster-Yale Materials Handling, Inc.",50.61,843253951.05,,,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/hy,
IAA,"IAA, Inc.",40.23,5369805698.58,,2019.0,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/iaa,
IAG,Iamgold Corporation,3.59,1680058679.21,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/iag,
IBN,ICICI Bank Limited,11.75,37950061087.75,,,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ibn,
IDA,"IDACORP, Inc.",111.99,5643973580.79,,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ida,
IEX,IDEX Corporation,156.14,11842776655.38,,1989.0,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/iex,
IDT,IDT Corporation,8.42,221274787.72,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/idt,
INFO,IHS Markit Ltd.,67.52,27074712865.92,,1996.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/info,
ITW,Illinois Tool Works Inc.,150.2,48586419632.0,,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/itw,
IMAX,Imax Corporation,21.07,1292250259.23,,,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/imax,
